Statistical profiling result from isolate-0x148008000-49636-v8.log, (8269 ticks, 4403 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
    518    6.3%    6.3%  JS: *promiseInitHook node:internal/async_hooks:320:25
    314    3.8%    3.8%  Builtin: KeyedLoadIC_Megamorphic
    160    1.9%    1.9%  Builtin: RunMicrotasks
    156    1.9%    1.9%  Builtin: KeyedStoreIC_Megamorphic
    137    1.7%    1.7%  JS: *promiseBeforeHook node:internal/async_hooks:338:27
    112    1.4%    1.4%  Builtin: KeyedHasIC_Megamorphic
    112    1.4%    1.4%  Builtin: CallFunction_ReceiverIsNullOrUndefined
    105    1.3%    1.3%  JS: *promiseAfterHook node:internal/async_hooks:345:26
     87    1.1%    1.1%  JS: *write file:///Users/matt/Repos/ssr-performance-showdown/astro/dist/server/chunks/astro/server_CRlOOVoI.mjs:1939:10
     81    1.0%    1.0%  Builtin: FulfillPromise
     81    1.0%    1.0%  Builtin: AsyncFunctionEnter
     78    0.9%    0.9%  JS: *render file:///Users/matt/Repos/ssr-performance-showdown/astro/dist/server/chunks/astro/server_CRlOOVoI.mjs:1468:15
     76    0.9%    0.9%  JS: *renderChild file:///Users/matt/Repos/ssr-performance-showdown/astro/dist/server/chunks/astro/server_CRlOOVoI.mjs:1647:27
     72    0.9%    0.9%  Builtin: LoadIC
     70    0.8%    0.8%  Builtin: AsyncFunctionAwaitUncaught
     68    0.8%    0.8%  Builtin: RecordWriteSaveFP
     61    0.7%    0.7%  Builtin: FunctionPrototypeHasInstance
     58    0.7%    0.7%  Builtin: PromisePrototypeThen
     57    0.7%    0.7%  Builtin: GetProperty
     53    0.6%    0.6%  JS: *write file:///Users/matt/Repos/ssr-performance-showdown/astro/dist/server/chunks/astro/server_CRlOOVoI.mjs:1371:8
     52    0.6%    0.6%  Builtin: ArrayPrototypePush
     50    0.6%    0.6%  Builtin: ResolvePromise
     47    0.6%    0.6%  JS: *<anonymous> file:///Users/matt/Repos/ssr-performance-showdown/astro/dist/server/chunks/base_BoPjX4Ev.mjs:4:32
     44    0.5%    0.5%  Builtin: TypedArrayPrototypeSet
     43    0.5%    0.5%  JS: *renderToFinalDestination file:///Users/matt/Repos/ssr-performance-showdown/astro/dist/server/chunks/astro/server_CRlOOVoI.mjs:1378:33
     43    0.5%    0.5%  JS: *_writeRaw node:_http_outgoing:424:19
     42    0.5%    0.5%  Builtin: ObjectPrototypeHasOwnProperty
     41    0.5%    0.5%  Builtin: StringAdd_CheckNone
     41    0.5%    0.5%  Builtin: PerformPromiseThen
     38    0.5%    0.5%  JS: *stringifyChunk file:///Users/matt/Repos/ssr-performance-showdown/astro/dist/server/chunks/astro/server_CRlOOVoI.mjs:1572:24
     32    0.4%    0.4%  Builtin: StringIndexOf
     31    0.4%    0.4%  Builtin: ResumeGeneratorTrampoline
     29    0.4%    0.4%  Builtin: PromiseFulfillReactionJob
     28    0.3%    0.3%  JS: *writeOrBuffer node:internal/streams/writable:548:23
     26    0.3%    0.3%  Builtin: KeyedLoadIC
     26    0.3%    0.3%  Builtin: CreateTypedArray
     25    0.3%    0.3%  Builtin: RegExpReplace
     22    0.3%    0.3%  JS: *addAttribute file:///Users/matt/Repos/ssr-performance-showdown/astro/dist/server/chunks/astro/server_CRlOOVoI.mjs:1296:22
     21    0.3%    0.3%  Builtin: StringConstructor
     21    0.3%    0.3%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     21    0.3%    0.3%  Builtin: AsyncFunctionAwaitResolveClosure
     20    0.2%    0.2%  JS: *write_ node:_http_outgoing:938:16
     20    0.2%    0.2%  JS: *next file:///Users/matt/Repos/ssr-performance-showdown/astro/dist/server/chunks/astro/server_CRlOOVoI.mjs:1898:15
     20    0.2%    0.2%  Builtin: Call_ReceiverIsNullOrUndefined
     19    0.2%    0.2%  JS: *readableStreamDefaultReaderRead node:internal/webstreams/readablestream:2252:41
